id,cat,text,spicy,jeune
1,"philo","Si tu pouvais changer une seule chose dans le monde, ce serait quoi ?",false,false
2,"philo","Est-ce que tu crois que tout arrive pour une raison ?",false,false
3,"philo","C'est quoi pour toi la définition du bonheur ?",false,false
4,"philo","Tu préfères avoir raison ou être heureux ?",false,false
5,"philo","Si tu pouvais vivre éternellement, est-ce que tu le ferais ? Pourquoi ?",false,false
6,"philo","C'est quoi la chose la plus précieuse que l'argent ne peut pas acheter ?",false,false
7,"philo","Est-ce que l'être humain est fondamentalement bon ou mauvais selon toi ?",false,false
8,"philo","C'est quoi le sens de la vie pour toi ?",false,false
9,"philo","Si tu devais choisir entre la liberté totale et la sécurité totale, tu choisirais quoi ?",false,false
10,"philo","C'est quoi pour toi la différence entre vivre et exister ?",false,false
11,"philo","Est-ce que tu crois en quelque chose de plus grand que toi ?",false,false
12,"philo","Si tu pouvais connaître la date de ta mort, tu voudrais le savoir ?",false,false
13,"philo","C'est quoi une vérité que tout le monde connaît mais que personne ne dit à voix haute ?",false,false
14,"philo","Le destin existe ou tout est un choix ?",false,false
15,"philo","C'est quoi l'expérience qui t'a le plus transformé ?",false,false
16,"philo","Si tu pouvais effacer un souvenir douloureux, est-ce que tu le ferais ?",false,false
17,"philo","C'est quoi la différence entre être seul et se sentir seul ?",false,false
18,"philo","Tu penses qu'on peut vraiment changer qui on est au fond ?",false,false
19,"philo","C'est quoi ta plus grande vérité sur toi-même que tu as du mal à accepter ?",false,false
20,"philo","Est-ce que tu penses que les gens naissent avec un caractère ou qu'ils le construisent ?",false,false
21,"philo","Si tu devais expliquer ce qu'est l'amour à quelqu'un qui ne l'a jamais ressenti, tu dirais quoi ?",false,false
22,"philo","C'est quoi pour toi la plus belle forme de courage ?",false,false
30,"amour","C'est quoi pour toi le vrai amour ?",false,false
31,"amour","Tu crois à l'âme sœur ?",false,false
32,"amour","Qu'est-ce que tu recherches vraiment chez un partenaire ?",false,false
33,"amour","Tu as déjà aimé quelqu'un en silence ? Comment c'était ?",false,false
34,"amour","C'est quoi la chose la plus courageuse que tu aies faite par amour ?",false,false
35,"amour","Comment tu sais que tu es vraiment amoureux ?",false,false
36,"amour","T'est-il déjà arrivé d'aimer deux personnes en même temps ?",false,false
37,"amour","C'est quoi pour toi un deal-breaker absolu dans une relation ?",false,false
38,"amour","Tu as déjà été brisé par quelqu'un ? Comment tu t'en es remis ?",false,false
39,"amour","C'est quoi la différence entre l'amour et l'attachement ?",false,false
40,"amour","Est-ce qu'on peut aimer quelqu'un et ne pas lui faire confiance ?",false,false
41,"amour","C'est quoi la chose la plus romantique qu'on t'ait jamais faite ?",false,false
42,"amour","Est-ce que tu penses que l'amour peut durer toute une vie ?",false,false
43,"amour","Tu as déjà choisi quelqu'un par peur d'être seul ?",false,false
44,"amour","C'est quoi la leçon la plus dure qu'une relation t'a apprise ?",false,false
45,"amour","Si tu pouvais revivre un moment avec quelqu'un que tu as aimé, lequel ce serait ?",false,false
46,"amour","C'est quoi la chose dont tu as besoin dans une relation mais que tu n'oses pas demander ?",false,false
47,"amour","Tu aimes plus ou tu te laisses aimer ?",false,false
48,"amour","C'est quoi le plus beau geste d'amour que tu aies jamais reçu ?",false,false
49,"amour","Tu as déjà eu des sentiments pour quelqu'un qui était en couple ?",false,false
50,"amour","C'est quoi pour toi la différence entre tomber amoureux et rester amoureux ?",false,false
51,"amour","Tu penses qu'un ex peut vraiment rester un ami ?",false,false
60,"drole","Si ta vie était un film, quel serait le titre et le genre ?",false,false
61,"drole","C'est quoi le truc le plus gênant qui t'est arrivé ?",false,false
62,"drole","Tu as déjà fait semblant d'aimer un cadeau ? Raconte.",false,false
63,"drole","C'est quoi ton talent caché le plus inutile ?",false,false
64,"drole","Si tu étais un emoji, lequel tu serais et pourquoi ?",false,false
65,"drole","C'est quoi la chose la plus stupide que tu aies faite pour faire rire quelqu'un ?",false,false
66,"drole","Quelle est la rumeur la plus bizarre qui a circulé sur toi ?",false,false
67,"drole","Si tu pouvais avoir un super-pouvoir complètement inutile, lequel ce serait ?",false,false
68,"drole","C'est quoi ton obsession secrète et totalement illogique ?",false,false
69,"drole","Tu as déjà envoyé un message au mauvais destinataire ? Raconte.",false,false
70,"drole","C'est quoi la peur la plus irrationnelle que tu aies ?",false,false
71,"drole","Si tu devais vivre dans une série TV, laquelle tu choisirais ?",false,false
72,"drole","C'est quoi ton excuse la plus créative pour te défiler de quelque chose ?",false,false
73,"drole","Tu as déjà menti sur quelque chose de complètement ridicule ?",false,false
74,"drole","C'est quoi le truc le plus enfantin que tu fasses encore ?",false,false
75,"drole","Tu as déjà parlé à toi-même à voix haute en public par accident ?",false,false
76,"drole","C'est quoi ton habitude la plus bizarre que tu n'avoues généralement pas ?",false,false
77,"drole","Si tu avais un million d'euros à dépenser en 24h de manière stupide, tu ferais quoi ?",false,false
78,"drole","C'est quoi la chanson que tu chantes sous la douche en ce moment ?",false,false
79,"drole","Tu as déjà fait un truc complètement hors de ton personnage ? Raconte.",false,false
80,"drole","Si tu devais choisir un animal pour te représenter, ce serait lequel et pourquoi ?",false,false
81,"drole","C'est quoi le truc le plus absurde dont tu t'es déjà énervé ?",false,false
90,"passe","C'est quoi le souvenir d'enfance qui te fait encore sourire ?",false,false
91,"passe","Tu as un regret que tu portes encore ?",false,false
92,"passe","Quelle période de ta vie tu revivrais si tu pouvais ?",false,false
93,"passe","C'est quoi la décision passée qui a le plus changé ta vie ?",false,false
94,"passe","Qui t'a le plus marqué dans ton enfance ?",false,false
95,"passe","C'est quoi la chose que la version de toi d'il y a 5 ans ne comprendrait pas aujourd'hui ?",false,false
96,"passe","Il y a un moment de ta vie que tu aurais aimé vivre autrement ?",false,false
97,"passe","C'est quoi la chose dont tu es le plus fier dans ton passé ?",false,false
98,"passe","Tu as déjà fait quelque chose dont tu n'es pas fier mais que tu referais quand même ?",false,false
99,"passe","C'est quoi le moment où tu as réalisé que tu avais vraiment grandi ?",false,false
100,"passe","Il y a une personne de ton passé que tu aimerais retrouver ?",false,false
101,"passe","C'est quoi la meilleure décision que tu aies jamais prise ?",false,false
102,"passe","C'est quoi le moment où tu as compris ce qui comptait vraiment pour toi ?",false,false
103,"passe","Qu'est-ce que tu dirais à une version plus jeune de toi si tu pouvais ?",false,false
104,"passe","C'est quoi l'obstacle que tu es le plus fier d'avoir surmonté ?",false,false
105,"passe","Tu as déjà tout quitté pour quelque chose ou quelqu'un ?",false,false
106,"passe","C'est quoi la chose du passé qui influence encore le plus ta façon d'agir aujourd'hui ?",false,false
107,"passe","Il y a une erreur passée qui t'a finalement mené quelque part de bien ?",false,false
